user_id,LogisticRegression(random_state=14),RandomForestClassifier(random_state=14),GradientBoostingClassifier()
63,True,True,True
71,True,True,True
136,True,True,True
190,True,True,True
208,True,True,True
209,False,False,False
319,False,False,False
337,True,True,True
344,False,False,False
381,True,False,False
395,False,False,False
433,True,True,True
524,False,False,False
610,False,False,False
717,False,False,False
930,True,True,True
938,True,True,True
987,True,True,True
1024,True,False,False
1369,False,False,False
1501,False,False,False
1630,False,False,False
1663,False,False,False
1851,False,False,False
1959,False,True,True
2330,True,False,False
2368,True,True,True
2393,True,True,True
2703,True,True,True
2824,False,False,False
2951,True,True,True
3124,True,True,True
3226,True,False,False
3231,True,True,True
3563,True,False,False
3603,False,False,True
3790,True,True,True
3944,True,True,True
4255,True,True,True
4392,False,False,False
4638,True,True,True
4711,True,True,True
4717,False,False,False
4718,False,False,False
4860,False,False,False
4924,True,False,False
4959,False,False,False
5035,False,False,False
5284,False,False,False
5846,True,True,True
6029,False,False,False
6104,False,False,False
6159,True,True,True
6250,True,True,True
6626,True,True,True
6632,True,True,True
6808,True,True,True
6817,True,True,True
7009,True,True,True
7043,True,True,True
7189,True,True,True
7611,True,True,True
7872,True,False,False
8164,True,False,False
8239,True,True,True
8316,True,True,True
8347,True,True,True
8466,True,True,True
8546,True,True,True
8586,True,True,True
8597,True,True,True
8891,False,True,True
9184,False,False,False
9265,True,True,True
9702,True,True,True
10019,True,True,True
10094,False,False,False
10467,True,False,False
10520,False,False,False
10589,True,False,False
10773,True,True,True
10785,False,False,False
10858,True,True,True
11032,True,True,True
11043,True,True,True
11075,True,True,True
11123,False,True,True
11557,False,False,False
11559,True,False,False
11566,True,True,True
11602,True,True,True
11703,False,False,False
11708,False,False,False
11812,False,False,False
11822,True,True,True
11869,False,False,False
12092,True,True,True
12224,True,True,True
12339,True,True,True
12378,False,False,False
12552,True,True,True
12604,True,True,True
12682,True,True,True
12791,False,False,False
12907,False,False,False
13061,True,True,True
13113,True,False,False
13115,True,True,True
13213,False,False,False
13325,True,True,True
13490,True,True,True
13694,True,False,False
13713,True,True,True
13947,True,True,True
13969,True,False,False
14001,True,True,True
14128,True,True,True
14180,True,True,True
14208,True,True,True
14270,True,True,True
14417,False,False,False
14693,False,False,False
14698,True,False,False
14761,True,True,True
14762,True,True,True
14847,False,False,False
14938,True,True,True
15031,True,True,True
15055,False,False,False
15067,True,True,True
15119,True,True,True
15162,False,False,False
15208,True,True,True
15321,True,True,True
15558,True,True,True
15691,False,False,False
15792,True,False,False
15833,True,True,True
15845,False,False,False
15936,False,False,False
15987,True,True,True
16156,True,True,True
16888,True,True,True
16931,False,False,False
17430,True,True,True
17576,True,True,True
17627,True,True,True
17728,True,True,True
17794,True,True,True
17818,True,False,False
17878,False,False,False
18085,False,False,False
18127,True,True,True
18235,True,True,True
18340,True,True,True
18433,True,True,True
18456,True,False,False
18722,False,False,False
18792,True,True,True
18914,True,False,False
19004,True,False,False
